smiles,energy_hartree,gap_eV
CC(C)(C)OC(=O)[C@H](Cc1ccccc1)NCc1ccccc1O,-70.70051486156198,3.1015941590107694
Cc1c(Sc2ccccc2)n(COCCNC(=O)c2ccccc2)c(=O)[nH]c1=O,-83.98009225681899,2.5651402933029344
CCC(C)Sc1nc(C)c(Cc2ccccc2)c(O)n1,-57.64275558756256,2.9815120957146006
COc1cccc2c1CCC(=O)N2CCCN1CCN(c2cccc(C(F)(F)F)c2)CC1,-96.8341262659296,2.71885989714428
CC1CCC(C(=O)Nc2ccccc2)c2ncc(C(=O)O)c(=O)n21,-70.17128584318176,2.30669910721834
O=C(Nc1nc2ccccc2s1)c1cc(Br)cc(Br)c1O,-59.47439681232844,2.2038449957042685
CCNC(=O)N1CCN(C2CCCc3ccc(OC)cc32)CC1,-69.25460587402253,3.483460442364697
CC(C)CCNC(=O)[C@@H](Cc1ccccc1)NCc1cc([N+](=O)[O-])ccc1O,-83.6905220829384,1.4297718387190883
CC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cc(Cl)cnc32)CC1,-74.2189603319443,2.7683847582231547
CC1C(=O)N2N=CN(C)C2=[N+](C)C1=O,-42.54422363629376,0.6909608079286792
Oc1nc2cccc(Cl)c2nc1O,-38.21906851733341,2.0170649775494858
NCC/N=C(\S)Nc1c(Cl)cccc1Cl,-45.97924051506818,2.696533173558248
CN(C)CCOc1ccc2c(=O)cc(-c3ccccc3)oc2c1,-65.47845656313702,2.2387273674071664
CN[C@@H]1CCC(c2ccccc2)c2ccccc21,-49.00274078236952,3.456586230824964
Cc1cc(-n2ncc(=O)[nH]c2=O)ccc1S(=O)(=O)c1ccc(Br)cc1,-72.72422934204397,2.504637133394048
O=C1Nc2ccc(Cl)cc2C(C#Cc2ccsc2)(C(F)(F)F)O1,-68.71174544477051,3.398963236395509
COC(=O)CCC1=C(c2ccccc2)c2cc(CCC(=O)OC)ccc2C(=O)C1=O,-86.98641081339204,1.2779155680875658
CC(C)(O)CC(=O)c1cc2c(c(C(C)(C)C)c1)OCC2,-60.863581555259856,2.939156722268418
CC1(C)O[C@H]2[C@@H]3OS(=O)(=O)O[C@@H]3CO[C@@]2(COS(=O)(=O)NC2CCCCCCC2)O1,-101.3978442398337,5.41513009256883
Cc1ccc2c3c1CCCN3CC(C1=NCCN1)O2,-54.68544875816581,3.3414109531563816
CCCN(CCC)C1CCc2cccc(C(N)=O)c2C1,-59.59315750529511,2.387020834785153
O=C(O)C1(O)CCC(O)C(CP(=O)(O)O)C1,-55.90428258844224,3.710279714725614
Clc1cccc(N2CCN(C3CC3)CC2)c1,-46.88679483403399,3.3328978850370925
O=C1/C(=C/c2ccc(Br)cc2)CCc2ccccc21,-51.1514705704806,2.5616289005053594
O=c1occcc1Cc1ccccc1,-38.89714311652811,2.9580564108479104
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,-83.32393013605666,3.2037638543869007
NCCc1c[nH]c(Cc2cccs2)n1,-40.03914450802103,2.997243543074704
CCC(=O)n1c(O)nc(CC)c1C(=O)c1ccc(-n2ccnc2C)cc1,-74.81437504240273,2.168044246379853
COc1cc([C@@H]2c3cc4nc5ccccc5nc4cc3[C@H](O)[C@H]3COC(=O)[C@H]23)cc(OC)c1OC,-100.30758980254484,0.8817871726588138
COc1ccc2c(c1)CC(Cc1ccncc1)C2=O,-52.95719852385356,2.4846396877951435
O=C(c1ccccc1)c1c(O)n(O)c2cc(NC(=O)C3CCCCC3)ccc12,-80.44483588811751,2.598033216955668
